smiles,Bioactivity
Clc1cc(ccc1N=N[C@H](C(=O)C)C(=O)Nc1ccccc1)-c1cc(Cl)c(N=N[C@H](C(=O)C)C(=O)Nc2ccccc2)cc1,1
CO[C@H]1C[C@H](CC[C@H]1O)C[C@@H]([C@@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H](CC[C@@H]2C)C[C@@H](OC)/C(=C\C=C\C=C\[C@@H](C[C@@H](C(=O)[C@@H]([C@@H](/C(=C\[C@@H](C(=O)C1)C)/C)O)OC)C)C)/C)C,1
COc1cc2oc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)cc(=O)c2c(O)c1OC,0
CON=C(C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=N)O)CS[C@H]12)C1=CC=CO1,1
[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])N1C([H])=C([H])N=C1[N+](=O)[O-],1
CC(=O)Nc1ccc(O)cc1,1
CCCN1[C@H]2C[C@@]34[C@@H]([C@@H]1C[C@@H]([C@@H]2[C@@H]3O)[C@@H](C=O)CC)N(C)c1c4cccc1,1
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,0
CC(C)C1CCC(C)CC1O,1
N[C@@H](CC1=CC=C(N(CCCl)CCCl)C=C1)C(=O)O,1
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,0
CC1=C(C(=O)OC(C)C)C(C2=CC([N+](=O)[O-])=CC=C2)C(C(=O)OC2CN(C(C3=CC=CC=C3)C3=CC=CC=C3)C2)=C(N)N1,1
[H]OC(=O)C3=C(C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])SC2([H])(N3(C(=O)C2([H])(N([H])C(=O)C(=NOC([H])([H])[H])C=1N=C(N([H])[H])SC=1([H])))),1
[H]C=1C=2C(=O)N([H])C([H])(N([H])C=2(C([H])=C(C=1S(=O)(=O)N([H])[H])Cl))C([H])([H])C([H])([H])[H],1
s1c(N(Cc2cc3c([nH]c(nc3=O)C)cc2)C)ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O,1
COC1=CC(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC(O)=C(OC)C=C1,0
O1[C@@H]2[C@]34[C@@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@H]2O,0
C[C@@H](/C=C/[C@@H](C)C(C)C)[C@@H]1CC[C@H]2[C@@]1(CCC/C/2=C\C=C\1/C[C@H](CCC1=C)O)C,0
O[C@H]1C=C[C@H]2[C@]34[C@@H]1Oc1c4c(C[C@@H]2N(CC3)C)ccc1O,1
S(=O)(=O)(NC(=O)NC1CCC(CC1)C)c1ccc(cc1)CCNC(=O)n1cc(C)c(CC)c1O,1
S1c2cc(OC(F)(F)F)ccc2NC1N,1
O(C(=O)C)[C@H]1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,1
s1cc(nc1N)/C(=N/OC)/C(=O)N[C@H]1[C@H]2SCC(C)=C(N2C1=O)C(OCOC(=O)C(C)(C)C)=O,1
COc1ccc(CC(N)C(=O)NC2C(CO)OC(C2O)n2cnc3c(ncnc23)N(C)C)cc1,1
Cn1c2ncn(C[C@H](O)CO)c2c(=O)n(C)c1=O,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,1
O1[C@@H]([C@H](O)[C@H](O)[C@H](O)[C@@H]1O)CO,0
O=C1C2C3CCC(C3)C2C(=O)N1CC1CCCCC1CN1CCN(CC1)C1=NSC2=CC=CC=C12,0
OC=1C2(C(=O)C(C)C)C(CC\C=C(\C)/C)(C)C(CC(C\C=C(\C)/C)(C2=O)C(=O)C=1C\C=C(\C)/C)C\C=C(\C)/C,0
OC=1[C@]2(O)[C@H]([C@H](N(C)C)C(=O)C=1C(=O)N)[C@@H](O)[C@H]1C(=C2O)C(=O)c2c(cccc2O)[C@@H]1C,1
CCSCCC(C(=O)O)N,1
CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1,1
CC1(C)CCC(CN2CCN(CC2)C2=CC=C(C(=O)NS(=O)(=O)C3=CC=C(NCC4CCOCC4)C(=C3)[N+]([O-])=O)C(OC3=CN=C4NC=CC4=C3)=C2)=C(C1)C1=CC=C(Cl)C=C1,0
Oc1ccc2CC3N(CC=C)CCC45C(Oc1c24)C(=O)CCC35O,0
NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,1
CC=C1C(OC(C)=O)C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O,1
